Mes,TemperaturaPromedio (°C),Precipitación (mm),IncidenciaPlaga
2022-04,25.74,0.0,6
2021-03,24.99,14.0,3
2019-02,18.87,12.5,0
2024-05,25.97,53.7,6
2021-05,23.5,54.7,3
2023-08,25.22,148.4,11
2021-11,22.31,18.3,5
2021-08,29.22,132.1,10
2025-03,18.58,43.9,2
2019-08,25.25,151.3,7
2024-02,17.82,23.5,0
2024-03,20.99,0.0,3
2021-08,26.43,190.9,11
2020-11,17.87,47.2,0
2019-01,19.61,59.5,0
2025-07,26.41,170.4,7
2025-08,25.43,165.3,8
2020-09,23.91,155.7,4
2019-03,16.55,3.2,0
2019-11,18.11,39.7,0
2019-06,28.35,158.0,9
2024-10,24.36,92.8,4
2025-03,20.54,24.3,3
2020-01,15.69,12.1,0
2024-03,18.58,27.7,0
2020-04,21.59,33.7,4
2021-07,26.68,191.2,11
2023-03,22.02,51.8,5
2024-01,20.25,28.3,2
2025-02,19.77,34.8,1
2019-04,24.32,23.7,9
2020-05,26.58,53.3,10
2020-12,17.13,69.0,0
2021-03,20.79,22.9,0
2025-12,23.57,43.8,2
2024-06,28.3,62.2,9
2021-03,22.17,16.8,0
2025-10,26.5,102.6,10
2022-06,26.84,150.1,13
2022-07,26.34,169.8,9
2022-01,20.74,42.0,2
2020-01,20.87,43.2,5
2025-07,28.2,180.4,10
2019-02,18.98,15.7,3
2020-03,27.36,28.0,8
2020-08,22.78,174.0,6
2020-12,20.24,3.6,0
2019-12,18.24,47.8,0
2019-02,21.3,7.6,1
2023-09,25.64,71.8,4
2025-10,22.03,113.0,5
2019-11,20.63,52.3,5
2021-01,17.89,65.4,1
2022-07,29.75,202.5,9
2025-06,32.05,154.1,10
2023-11,17.21,64.0,0
2024-05,25.25,40.8,4
2023-01,19.77,45.4,3
2021-12,17.73,13.4,0
2020-05,22.22,70.2,6
2025-01,17.65,0.0,0
2024-08,26.43,136.5,8
2019-03,23.02,46.5,10
2024-01,17.07,39.7,0
2019-08,25.93,191.5,6
2024-03,20.0,12.1,5
2024-10,26.11,87.4,5
2019-12,20.87,40.5,1
2022-01,18.87,39.1,3
2019-11,20.27,84.4,4
2022-12,18.91,51.5,4
2025-06,26.91,145.2,7
2019-07,28.06,166.2,6
2021-10,19.32,50.3,2
2025-10,24.69,62.2,7
2021-02,17.18,40.6,1
2019-12,15.69,71.9,0
2022-06,29.94,134.0,9
2022-07,26.6,179.0,1
2023-08,25.37,153.9,3
2021-03,22.41,0.0,4
2025-09,26.84,144.9,8
2022-08,27.71,105.3,6
2021-01,18.09,12.6,0
2025-09,21.98,161.3,9
2025-06,23.1,156.9,6
2022-06,29.01,192.7,12
2019-03,22.55,23.8,2
2023-03,19.53,17.0,2
2022-11,21.24,62.9,3
2020-01,16.26,33.1,0
2023-06,28.21,162.9,7
2024-11,17.83,23.4,0
2019-09,25.16,88.1,8
2024-01,19.55,44.2,3
2019-12,17.46,49.3,4
2024-03,19.58,13.8,3
2021-12,21.11,25.6,1
2019-01,16.6,38.8,0
2025-10,20.74,70.3,3
2020-02,18.43,0.0,2
2023-03,20.58,22.2,0
2020-04,21.06,49.7,7
2025-07,28.91,171.0,10
2024-03,17.68,17.9,1
2024-08,25.23,166.5,8
2022-01,15.6,64.2,0
2022-04,24.68,19.6,5
2023-06,29.52,121.0,17
2024-06,25.84,152.9,8
2024-12,20.93,59.9,3
2019-02,20.81,11.1,4
2023-08,26.44,182.9,8
2019-10,20.93,69.4,0
2021-01,17.03,54.5,2
2024-10,26.63,84.8,8
2020-10,21.87,89.5,1
2024-07,24.71,188.6,8
2022-03,24.29,44.5,4
2020-08,23.94,189.7,9
2021-05,27.96,48.8,12
2022-09,25.16,151.0,11
2024-05,25.13,80.3,4
2023-03,17.33,32.6,0
2025-07,27.06,175.1,8
2025-01,16.37,71.4,0
2024-04,23.62,51.1,2
2023-03,24.69,19.8,4
2021-01,21.22,42.5,7
2021-11,19.22,32.1,3
2019-10,19.99,69.3,3
2021-08,30.33,159.9,11
2025-06,25.59,150.5,14
2021-12,22.28,38.1,6
2019-10,25.48,74.8,2
2023-07,27.68,184.1,7
2025-09,25.34,164.8,7
2025-01,17.36,36.6,0
2020-12,18.76,45.3,1
2022-03,22.94,19.5,4
2022-09,27.91,154.2,6
2020-09,24.5,135.7,12
2020-11,16.05,49.2,1
2020-08,29.0,194.0,10
2025-12,20.45,28.8,2
2024-03,19.63,33.3,2
2024-11,18.23,58.3,2
2024-09,26.22,144.2,9
2025-09,22.66,117.2,5
2019-09,24.92,139.4,9
2025-03,20.09,21.7,5
2019-06,25.48,142.6,5
2022-04,25.17,0.0,3
2023-02,19.83,22.2,1
2021-07,25.71,180.8,10
2020-01,19.28,34.5,3
2020-05,24.74,10.0,3
2024-10,23.16,79.4,10
2021-03,19.69,31.8,2
2021-03,20.64,18.6,3
2025-06,26.37,129.1,8
2020-01,18.85,57.5,0
2025-05,28.14,23.8,6
2025-06,27.27,131.8,8
2023-03,24.55,36.6,3
2020-02,20.64,3.3,1
2020-02,19.88,0.4,2
2020-12,17.57,33.5,2
2023-01,21.23,9.7,0
2020-01,17.31,46.0,0
2022-03,20.19,28.7,3
2019-10,19.18,79.1,1
2022-10,20.21,89.2,1
2019-02,22.66,0.0,8
2023-12,15.76,69.5,0
2019-05,27.05,66.6,8
2020-05,25.09,35.8,8
2020-03,24.54,0.0,9
2024-10,22.94,56.9,5
2019-05,27.49,52.5,9
2022-01,17.75,42.2,4
2023-02,19.7,15.8,1
2022-08,26.59,154.2,16
2023-10,23.03,87.0,1
2024-08,30.05,149.2,10
2021-10,24.26,74.0,3
2024-10,22.4,117.7,2
2021-03,18.99,58.0,2
2025-11,23.09,51.5,2
2022-07,28.3,151.2,9
2024-02,18.6,22.3,0
2025-02,17.25,15.3,0
2024-07,23.59,175.4,3
2024-12,16.44,39.3,2
2022-10,24.88,78.2,6
2019-04,22.53,44.3,5
2022-06,26.31,163.7,8
2020-04,26.09,34.4,2
2025-03,21.41,0.0,3
2020-08,25.05,154.0,5
2020-08,28.9,204.1,11
2020-09,26.9,154.1,7
2023-06,28.41,179.2,13
2022-12,18.92,68.5,4
2025-08,30.44,133.3,8
2021-11,17.56,28.2,2
2020-12,16.07,29.4,0
2019-05,26.07,73.9,3
2019-01,15.08,12.2,0
2021-08,24.98,179.1,4
2025-06,26.7,142.1,10
2022-08,29.48,190.8,11
2025-04,23.64,68.6,7
2019-09,27.3,97.0,5
2019-08,27.54,200.2,7
2024-11,16.39,102.2,1
2019-09,27.12,126.2,14
2019-05,24.18,66.7,4
2021-10,21.61,67.3,5
2025-06,29.98,123.8,11
2023-10,21.04,99.8,6
2019-09,26.21,143.3,7
2024-11,20.3,46.2,2
2024-11,18.88,115.9,2
2024-08,28.32,160.8,13
2025-04,23.82,39.4,3
2020-09,25.33,112.7,3
2025-11,23.09,77.7,5
2021-03,21.5,29.1,1
2024-08,24.69,153.5,7
2023-01,19.67,46.9,3
2024-06,30.08,165.3,6
2023-05,23.74,63.6,8
2023-06,27.37,161.5,8
2023-04,22.64,42.6,3
2024-06,29.7,131.2,10
2024-03,21.93,0.0,5
2019-12,18.7,33.9,1
2024-10,20.92,81.5,2
2022-10,23.84,69.2,8
2021-04,23.49,20.2,3
2022-08,23.38,175.9,8
2025-10,22.55,75.1,6
2025-01,17.12,36.5,1
2024-11,18.54,44.4,0
2022-03,21.04,28.5,2
2024-06,25.63,144.5,9
2021-09,29.99,132.7,10
2023-10,22.03,59.3,3
2023-06,23.79,175.7,5
2020-09,25.4,119.3,6
2020-11,19.92,51.6,1
2019-06,28.8,163.7,9
2019-12,18.09,25.5,0
2022-01,15.31,24.9,0
2022-05,26.16,51.3,4
2020-02,16.53,22.8,0
2021-12,15.82,40.3,0
2023-03,19.47,25.4,3
2020-08,25.95,127.2,13
2021-05,27.1,64.0,11
2021-07,27.22,165.1,9
2022-07,22.33,157.9,6
2021-07,27.7,176.9,12
2024-02,15.81,33.9,0
2021-04,24.3,50.8,6
2022-01,13.25,18.5,0
2021-08,26.74,104.7,12
2020-04,22.97,0.0,2
2023-10,21.78,84.6,4
2020-08,24.07,171.0,9
2021-01,16.95,59.8,0
2024-07,28.19,214.4,10
2025-08,29.6,173.4,15
2023-09,22.4,136.1,4
2025-05,26.6,55.5,9
2024-12,19.28,48.3,3
2022-05,24.7,65.3,5
2024-05,25.61,58.0,5
2021-04,26.23,25.8,7
2022-03,18.4,24.7,1
2022-09,25.51,110.4,8
2025-09,27.36,129.5,7
2024-12,19.16,23.4,1
2022-06,27.12,143.9,10
2023-07,24.34,163.5,9
2020-05,24.9,37.8,6
2024-08,28.65,162.3,7
2022-11,26.45,24.3,3
2022-09,26.06,137.6,7
2024-05,23.72,74.8,7
2023-06,26.9,151.8,10
2019-07,29.24,177.9,15
2021-01,20.16,21.3,2
2020-03,16.91,33.8,0
2024-02,20.71,37.4,1
2019-03,21.37,0.0,4
2020-06,23.63,152.7,6
2023-03,20.88,49.6,2
2023-11,17.78,101.0,1
2022-07,27.54,176.2,19
2025-01,19.94,27.1,0
2025-06,29.22,124.8,12
2019-12,20.49,43.1,3
2025-09,27.3,131.4,9
2023-04,19.23,31.2,0
2023-06,29.49,161.5,14
2019-08,27.76,189.9,13
2023-05,26.03,55.3,11
2024-01,17.95,18.7,1
2023-01,19.04,13.7,2
2019-08,29.54,141.9,7
2022-08,29.8,150.3,5
2025-07,25.96,165.1,6
2024-01,14.62,8.0,0
2019-12,18.74,51.7,3
2025-09,24.3,108.0,9
2025-09,25.69,151.9,6
2020-03,21.08,16.7,3
2024-08,25.71,131.7,10
2021-11,18.36,81.8,3
2023-02,18.74,59.6,2
2022-02,19.43,25.1,1
2024-06,27.35,148.6,9
2025-12,19.35,45.0,2
2024-07,26.1,183.9,10
2025-07,29.3,211.2,15
2025-08,27.99,155.1,9
2019-08,23.25,162.4,6
2020-10,23.73,22.1,2
2024-01,19.76,34.3,1
2023-02,17.74,50.3,2
2019-05,26.39,40.9,9
2019-08,26.89,207.8,10
2022-08,27.73,174.1,7
2023-04,23.57,24.3,4
2020-03,20.9,0.0,4
2020-03,19.97,8.4,4
2019-11,20.51,68.4,5
2022-12,17.12,23.7,0
2019-01,16.08,42.9,1
2023-01,18.91,60.2,4
2022-04,23.92,30.1,4
2022-04,24.7,14.6,3
2023-10,21.85,111.7,5
2022-08,25.68,151.3,9
2024-02,19.84,35.9,4
2024-05,27.2,94.1,12
2025-06,25.25,151.5,9
2024-08,27.55,139.9,7
2022-08,27.4,163.1,11
2022-06,26.68,154.5,4
2020-08,29.12,161.0,12
2023-03,17.89,30.1,0
2019-12,18.57,45.2,3
2025-07,27.92,235.1,11
2024-11,18.01,43.7,5
2019-11,21.68,29.9,5
2024-07,28.21,162.5,7
2019-10,24.04,51.7,7
2024-01,18.96,0.0,2
2019-08,22.79,178.5,4
2022-06,29.23,126.2,6
2023-08,28.83,163.1,17
2024-02,14.63,61.0,0
2021-12,16.85,34.0,2
2025-06,26.36,139.5,6
2024-06,23.92,140.6,7
2020-06,30.63,159.0,15
2023-09,24.55,116.8,6
2024-02,18.21,37.6,2
2021-05,28.02,58.2,8
2024-03,21.58,17.5,3
2025-04,24.25,69.5,3
2024-09,25.62,157.0,10
2024-05,23.34,100.2,7
2023-06,28.27,139.3,10
2020-11,23.0,54.1,3
2024-07,26.55,181.9,4
2021-07,25.66,143.7,5
2022-09,29.02,169.8,6
2021-03,19.49,0.0,0
2021-03,20.42,0.0,0
2020-02,16.65,17.6,0
2025-09,26.85,101.9,7
2020-01,17.35,28.9,2
2019-08,27.96,170.8,9
2025-07,29.97,164.6,14
2022-11,23.65,54.1,3
2022-01,17.3,48.3,0
2024-02,21.02,47.1,1
2021-09,23.21,142.5,7
2019-11,16.39,50.6,0
2024-02,15.39,31.0,1
2020-03,23.46,37.0,4
2022-11,19.59,47.2,1
2025-08,26.8,159.3,23
2025-07,28.53,168.6,7
2021-07,27.43,193.2,13
2024-06,25.03,126.1,5
2023-04,24.38,47.0,3
2022-05,25.18,60.7,5
2019-12,12.8,33.5,0
2021-08,26.81,178.9,7
2023-07,26.4,176.8,10
2025-11,19.05,45.7,3
2019-01,20.35,31.8,4
2024-01,15.0,75.8,0
2024-12,20.41,54.0,1
2025-08,24.13,178.3,6
2021-12,19.61,48.6,3
2019-10,25.82,87.4,7
2020-11,22.43,43.1,3
2024-12,21.31,45.5,8
2025-02,20.24,2.0,2
2023-06,27.82,95.8,9
2019-11,22.76,74.2,5
2019-11,22.27,83.3,8
2022-05,25.82,34.9,6
2023-02,19.41,39.0,0
2019-03,17.65,22.6,0
2023-10,20.69,47.0,3
2022-10,20.93,68.5,4
2019-02,21.94,49.7,4
2019-09,26.89,131.4,8
2022-03,19.97,53.9,1
2024-01,17.76,9.3,1
2024-10,21.4,70.0,3
2022-01,17.68,19.0,1
2021-01,19.44,5.2,1
2025-10,24.78,106.0,9
2022-03,17.25,40.6,0
2021-03,22.03,46.2,3
2022-02,20.13,37.3,0
2019-02,16.66,38.8,0
2021-02,18.41,11.2,0
2022-08,24.51,158.4,8
2025-06,25.76,185.0,9
2024-03,19.79,45.8,1
2024-06,28.23,148.3,6
2022-10,20.34,78.6,5
2019-10,23.92,83.9,3
2021-09,20.52,120.1,2
2025-12,21.35,40.1,4
2019-04,21.76,37.0,5
2025-02,22.11,4.4,5
2023-10,21.85,88.2,3
2020-12,19.55,25.5,1
2024-06,27.57,198.1,11
2024-11,23.53,21.3,7
2019-04,25.71,103.7,11
2019-09,27.56,148.6,8
2023-08,28.62,153.5,7
2025-12,17.71,46.9,1
2019-03,17.86,0.9,0
2023-08,22.93,154.0,5
2019-12,16.98,43.2,0
2023-07,28.03,152.7,6
2023-05,23.36,0.0,6
2019-08,25.39,164.3,8
2023-10,20.98,43.0,4
2025-04,23.17,16.1,8
2025-01,16.75,55.6,0
2019-03,23.47,19.1,6
2020-09,25.41,129.8,9
2020-09,23.22,151.3,8
2022-03,24.28,68.3,5
2020-01,16.11,52.9,0
2024-12,18.41,26.8,2
2024-06,24.65,175.8,10
2024-08,27.36,167.4,8
2020-05,27.43,56.7,5
2019-02,18.53,21.8,1
2025-05,24.87,72.6,2
2021-01,19.62,0.0,1
2023-08,29.33,136.8,13
2025-05,25.92,58.5,8
2019-04,21.3,45.5,3
2019-01,19.53,29.9,0
2019-01,14.63,0.0,0
2020-02,18.99,46.0,3
2019-05,25.87,47.4,2
2024-09,22.39,141.5,9
2023-03,18.17,14.7,3
2025-11,20.31,39.0,1
2024-08,28.24,126.3,3
2025-09,25.33,135.8,6
2020-09,25.83,132.3,6
2021-01,16.86,89.2,1
2024-12,20.02,66.7,4
2020-09,26.75,147.9,9
2019-05,26.53,46.1,8
2023-09,23.55,139.6,9
2024-08,27.33,153.3,7
2025-10,21.35,73.5,3
2025-06,27.48,126.8,9
2019-11,21.99,54.3,7
2024-05,24.35,42.3,5
2024-12,19.7,33.0,1
2023-11,20.25,84.8,1
2024-09,22.19,125.0,2
2024-11,22.27,36.6,1
2022-02,24.15,40.6,7
2019-04,21.66,49.6,2
2022-03,22.39,20.0,6
2020-05,27.87,54.3,5
2019-10,22.09,23.4,8
2019-11,19.84,39.9,1
2023-11,16.92,29.4,0
2022-07,30.22,177.7,14
2022-10,21.47,67.4,3
2024-03,17.71,8.6,0
2022-11,22.29,104.0,5
2023-05,26.25,56.4,5
2019-08,26.01,183.5,2
2024-12,19.85,52.8,5
2022-02,20.15,27.0,2
2020-02,17.67,10.9,0
2024-09,24.19,138.3,8
2024-02,20.91,39.6,2
2019-05,23.35,73.3,5
2020-05,26.62,48.9,4
2019-02,19.38,49.0,4
2020-11,19.99,34.4,0
2019-09,26.06,140.2,6
2023-12,15.92,59.1,0
2022-08,29.73,197.4,9
2025-11,15.33,40.7,1
2024-03,20.92,27.6,6
2023-04,21.74,1.0,4
2022-07,24.26,207.4,8
2019-05,27.16,80.8,6
2019-06,26.44,178.1,11
2023-04,25.68,0.0,1
2019-01,20.69,13.6,1
2019-04,20.48,31.8,3
2020-07,24.56,180.8,8
2025-03,17.24,43.0,0
2022-03,20.99,33.9,7
2023-12,19.53,60.6,0
2021-11,22.2,68.5,2
2020-03,17.23,47.6,0
2021-08,27.54,160.7,8
2019-08,26.82,169.7,8
2024-05,26.04,71.6,9
2020-04,20.71,21.6,2
2021-08,27.38,177.1,5
2025-11,19.76,111.3,3
2023-02,20.69,16.0,2
2022-03,20.24,26.5,3
2022-10,21.61,94.9,6
2024-06,28.5,143.1,6
2020-10,24.27,82.3,9
2023-06,23.37,132.1,6
2025-02,21.87,4.1,1
2023-01,16.75,31.5,0
2022-02,18.75,24.2,3
2020-01,18.72,28.1,0
2020-09,27.47,115.3,3
2025-08,27.37,145.5,7
2022-10,24.52,72.9,8
2021-02,20.57,21.0,0
